0	0	0.048126	0.261098
0	1	0.295970	0.045994
0	2	0.650053	0.225786
0	3	0.925122	0.869325
0	4	0.414592	0.848031
1	0	0.801841	0.712281
1	1	0.565988	0.757502
1	2	0.814972	0.012016
1	3	0.796774	0.361635
1	4	0.044059	0.221791
2	0	0.261356	0.643076
2	1	0.724756	0.669905
2	2	0.412067	0.712579
2	3	0.662475	0.265265
2	4	0.522772	0.285799
3	0	0.785821	0.759323
3	1	0.023540	0.998296
3	2	0.082112	0.452960
3	3	0.662647	0.037687
3	4	0.148814	0.395578
4	0	0.973842	0.929219
4	1	0.418479	0.351880
4	2	0.188081	0.177366
4	3	0.844706	0.801818
4	4	0.379397	0.111919
5	0	0.002644	0.671343
5	1	0.898429	0.519425
5	2	0.469003	0.088578
5	3	0.099724	0.945389
5	4	0.332684	0.663363
6	0	0.448260	0.618861
6	1	0.941423	0.514592
6	2	0.853647	0.320825
6	3	0.485537	0.583825
6	4	0.953649	0.267063
7	0	0.343150	0.907077
7	1	0.864728	0.513255
7	2	0.532434	0.541292
7	3	0.400671	0.304027
7	4	0.236353	0.301761
8	0	0.347196	0.814633
8	1	0.563407	0.939714
8	2	0.589762	0.065404
8	3	0.021940	0.357695
8	4	0.037855	0.293498
9	0	0.374924	0.841369
9	1	0.601830	0.020176
9	2	0.372679	0.832837
9	3	0.905322	0.805938
9	4	0.954743	0.959911
