0	0	0.379923	0.069692
0	1	0.199510	0.422461
0	2	0.157291	0.823371
0	3	0.299382	0.642243
0	4	0.803107	0.121473
0	5	0.808663	0.596988
0	6	0.210935	0.192024
0	7	0.018578	0.081456
0	8	0.877550	0.332899
0	9	0.408621	0.081458
1	0	0.724926	0.579214
1	1	0.446438	0.893406
1	2	0.209772	0.837259
1	3	0.479850	0.776564
1	4	0.875991	0.454935
1	5	0.141227	0.941370
1	6	0.164519	0.504634
1	7	0.413600	0.314399
1	8	0.245641	0.633946
1	9	0.412894	0.725982
2	0	0.203427	0.726663
2	1	0.107668	0.830413
2	2	0.737951	0.346642
2	3	0.162705	0.517347
2	4	0.209518	0.536053
2	5	0.034922	0.128422
2	6	0.998169	0.891383
2	7	0.823755	0.466952
2	8	0.877505	0.323603
2	9	0.472622	0.392951
3	0	0.193143	0.708849
3	1	0.394424	0.608178
3	2	0.516236	0.611017
3	3	0.333579	0.941990
3	4	0.432969	0.045169
3	5	0.324976	0.404758
3	6	0.110852	0.399021
3	7	0.667691	0.608360
3	8	0.770705	0.839565
3	9	0.793893	0.382388
4	0	0.452040	0.609624
4	1	0.085849	0.422085
4	2	0.517499	0.671805
4	3	0.159615	0.567526
4	4	0.273057	0.142213
4	5	0.341882	0.236211
4	6	0.222522	0.484982
4	7	0.749260	0.857831
4	8	0.806449	0.774216
4	9	0.437685	0.174192
5	0	0.625152	0.010916
5	1	0.706516	0.156907
5	2	0.049940	0.410279
5	3	0.530288	0.246640
5	4	0.093729	0.990999
5	5	0.798028	0.177616
5	6	0.582346	0.823319
5	7	0.212368	0.975453
5	8	0.253270	0.281997
5	9	0.473679	0.748894
6	0	0.095681	0.235305
6	1	0.077980	0.946079
6	2	0.406487	0.641213
6	3	0.026715	0.047252
6	4	0.618679	0.440202
6	5	0.063923	0.472096
6	6	0.876550	0.818203
6	7	0.253396	0.358892
6	8	0.267590	0.263971
6	9	0.698179	0.348584
7	0	0.877023	0.564745
7	1	0.680362	0.614258
7	2	0.417591	0.496662
7	3	0.959043	0.356191
7	4	0.183042	0.638708
7	5	0.225733	0.014091
7	6	0.596097	0.627001
7	7	0.694904	0.325139
7	8	0.088317	0.599862
7	9	0.519664	0.610451
8	0	0.544819	0.882252
8	1	0.351698	0.201205
8	2	0.419096	0.038451
8	3	0.392622	0.739959
8	4	0.359763	0.610283
8	5	0.747359	0.540310
8	6	0.924050	0.840999
8	7	0.517490	0.726213
8	8	0.134315	0.500098
8	9	0.502558	0.604003
9	0	0.413026	0.577774
9	1	0.448005	0.891736
9	2	0.666143	0.483501
9	3	0.132317	0.020072
9	4	0.488775	0.701774
9	5	0.044702	0.812501
9	6	0.731415	0.364778
9	7	0.480128	0.866472
9	8	0.355193	0.124808
9	9	0.776605	0.644791
